2008,1,3,50000,Daily_ret,STD_daily_ret,Total Return,average Daily_ret,Sharpe
2009,7,10,57882,0.004215895,,,,
2009,7,13,58220,0.005839467,,,,
2009,7,14,58256,0.000618344,,,,
2009,7,15,58248,-0.000137325,,,,
2009,7,16,58124,-0.002128828,,,,
2009,7,17,58124,0,,,,
2009,7,20,58124,0,,,,
2009,7,21,58124,0,,,,
2009,7,22,58177,0.000911844,,,,
2009,7,23,58253,0.001306358,,,,
2009,7,24,58249,-6.8666E-05,,,,
2009,7,27,58279,0.00051503,,,,
2009,7,28,58275,-6.86354E-05,,,,
2009,7,29,58275,0,,,,
2009,7,30,58374,0.001698842,,,,
2009,7,31,58411,0.000633844,,,,
2009,8,3,58490,0.001352485,,,,
2009,8,4,58492,3.41939E-05,,,,
2009,8,5,58550,0.000991589,,,,
2009,8,6,58494,-0.000956447,,,,
2009,8,7,58588,0.001607002,,,,
2009,8,10,58585,-5.1205E-05,,,,
2009,8,11,58553,-0.000546215,,,,
2009,8,12,58626,0.001246734,,,,
2009,8,13,58607,-0.000324088,,,,
2009,8,14,58607,0,,,,
2009,8,17,58556,-0.000870203,,,,
2009,8,18,58675,0.002032243,,,,
2009,8,19,58682,0.000119301,,,,
2009,8,20,58777,0.001618895,,,,
2009,8,21,58978,0.003419705,,,,
2009,8,24,58951,-0.000457798,,,,
2009,8,25,58951,0,,,,
2009,8,26,58951,0,,,,
2009,8,27,58951,0,,,,
2009,8,28,58951,0,,,,
2009,8,31,58951,0,,,,
2009,9,1,58892,-0.001000831,,,,
2009,9,2,58857,-0.000594308,,,,
2009,9,3,58974,0.001987869,,,,
2009,9,4,59043,0.001170007,,,,
2009,9,8,59142,0.001676744,,,,
2009,9,9,59252,0.00185993,,,,
2009,9,10,59241,-0.000185648,,,,
2009,9,11,59241,0,,,,
2009,9,14,59248,0.000118161,,,,
2009,9,15,59291,0.000725763,,,,
2009,9,16,59297,0.000101196,,,,
2009,9,17,59277,-0.000337285,,,,
2009,9,18,59286,0.00015183,,,,
2009,9,21,59286,0,,,,
2009,9,22,59318,0.000539756,,,,
2009,9,23,59311,-0.000118008,,,,
2009,9,24,59186,-0.002107535,,,,
2009,9,25,59161,-0.000422397,,,,
2009,9,28,59273,0.001893139,,,,
2009,9,29,59437,0.002766858,,,,
2009,9,30,59492,0.00092535,,,,
2009,10,1,59356,-0.002286022,,,,
2009,10,2,59336,-0.00033695,,,,
2009,10,5,59377,0.00069098,,,,
2009,10,6,59420,0.000724186,,,,
2009,10,7,59464,0.000740491,,,,
2009,10,8,59462,-3.36338E-05,,,,
2009,10,9,59466,6.72699E-05,,,,
2009,10,12,59437,-0.000487674,,,,
2009,10,13,59431,-0.000100947,,,,
2009,10,14,59443,0.000201915,,,,
